#SET1,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Vision One,In the Backseat,Vision One,Vision One,In the Backseat,Vision One,Vision One,Teen Creeps,Vision One
In the Backseat,Vision One,In the Backseat,In the Backseat,Vision One,In the Backseat,In the Backseat,In the Backseat,In the Backseat
Teen Creeps,Teen Creeps,Teen Creeps,Teen Creeps,Teen Creeps,Teen Creeps,Teen Creeps,Vision One,Teen Creeps
A Song For Milly Michaelson,,,A Song For Milly Michaelson,,,A Song For Milly Michaelson,,
I Don't Wanna Die,,,I Don't Wanna Die,,,I Don't Wanna Die,,
#SET2,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat
Rose Parade,Rose Parade,Rose Parade,Rose Parade,Rose Parade,Rose Parade,Rose Parade,Rose Parade,Rose Parade
Don't Cry (original),Don't Cry (original),Don't Cry (original),Don't Cry (original),Don't Cry (original),Don't Cry (original),Don't Cry (original),Don't Cry (original),Don't Cry (original)
I Don't Wanna Die,,,I Don't Wanna Die,,,I Don't Wanna Die,,
Million Dollar Question,,,Million Dollar Question,,,Million Dollar Question,,
#SET3,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Let's Have A War,Page of Cups,Let's Have A War,Let's Have A War,Page of Cups,Let's Have A War,Let's Have A War,Drug A Wheel,Let's Have A War
Page of Cups,Let's Have A War,Page of Cups,Page of Cups,Let's Have A War,Page of Cups,Page of Cups,Page of Cups,Page of Cups
Drug A Wheel,Drug A Wheel,Drug A Wheel,Drug A Wheel,Drug A Wheel,Drug A Wheel,Drug A Wheel,Let's Have A War,Drug A Wheel
Don't Cry (original),,,Don't Cry (original),,,Don't Cry (original),,
A Song For Milly Michaelson,,,A Song For Milly Michaelson,,,A Song For Milly Michaelson,,
#SET4,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,In the Backseat,Let's Have A War,In the Backseat
