#SET1,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,Shoreline,San Francisco
Shoreline,Shoreline,Shoreline,Shoreline,Shoreline,Shoreline,Shoreline,San Francisco,Shoreline
U Know What's Up,There Is a Wind,U Know What's Up,U Know What's Up,There Is a Wind,U Know What's Up,U Know What's Up,There Is a Wind,U Know What's Up
There Is a Wind,,,There Is a Wind,,,There Is a Wind,,
World of Shit,,,World of Shit,,,World of Shit,,
#SET2,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Wal-Mart Parking Lot,Hell On The Heart,Wal-Mart Parking Lot,Wal-Mart Parking Lot,Hell On The Heart,Wal-Mart Parking Lot,Wal-Mart Parking Lot,Hell On The Heart,Wal-Mart Parking Lot
Ex Lover,Wal-Mart Parking Lot,Ex Lover,Ex Lover,Wal-Mart Parking Lot,Ex Lover,Ex Lover,I Got A Feelin',Ex Lover
Hell On The Heart,I Got A Feelin',Hell On The Heart,Hell On The Heart,I Got A Feelin',Hell On The Heart,Hell On The Heart,Wal-Mart Parking Lot,Hell On The Heart
I Got A Feelin',,,I Got A Feelin',,,I Got A Feelin',,
The Ballad of Michael Valentine,,,The Ballad of Michael Valentine,,,The Ballad of Michael Valentine,,
#SET3,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
San Francisco,Hell On The Heart,San Francisco,San Francisco,Hell On The Heart,San Francisco,San Francisco,Whose Bed Have Your Boots Been Under?,San Francisco
Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Hell On The Heart,Whose Bed Have Your Boots Been Under?
Hell On The Heart,San Francisco,Hell On The Heart,Hell On The Heart,San Francisco,Hell On The Heart,Hell On The Heart,San Francisco,Hell On The Heart
Shoreline,,,Shoreline,,,Shoreline,,
Good Arms vs. Bad Arms,,,Good Arms vs. Bad Arms,,,Good Arms vs. Bad Arms,,
#SET4,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Fortunate Son,Hell On The Heart,Fortunate Son,Fortunate Son,Hell On The Heart,Fortunate Son,Fortunate Son,Just Missed the Train,Fortunate Son
Hotel Yorba,Hotel Yorba,Hotel Yorba,Hotel Yorba,Hotel Yorba,Hotel Yorba,Hotel Yorba,Hell On The Heart,Hotel Yorba
Hell On The Heart,Just Missed the Train,Hell On The Heart,Hell On The Heart,Just Missed the Train,Hell On The Heart,Hell On The Heart,Hotel Yorba,Hell On The Heart
Just Missed the Train,,,Just Missed the Train,,,Just Missed the Train,,
Two Months Off,,,Two Months Off,,,Two Months Off,,
#SET5,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Flashmob,Miss Me Baby,Flashmob,Flashmob,Miss Me Baby,Flashmob,Flashmob,Miss Me Baby,Flashmob
I Got A Feelin',I Got A Feelin',I Got A Feelin',I Got A Feelin',I Got A Feelin',I Got A Feelin',I Got A Feelin',I Got A Feelin',I Got A Feelin'
U Know What's Up,World of Shit,U Know What's Up,U Know What's Up,World of Shit,U Know What's Up,U Know What's Up,World of Shit,U Know What's Up
Miss Me Baby,,,Miss Me Baby,,,Miss Me Baby,,
World of Shit,,,World of Shit,,,World of Shit,,
#SET6,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Whose Bed Have Your Boots Been Under?,Hell On The Heart,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,Hell On The Heart,Whose Bed Have Your Boots Been Under?,Whose Bed Have Your Boots Been Under?,The Ballad of Michael Valentine,Whose Bed Have Your Boots Been Under?
Hell On The Heart,Whose Bed Have Your Boots Been Under?,Hell On The Heart,Hell On The Heart,Whose Bed Have Your Boots Been Under?,Hell On The Heart,Hell On The Heart,Hell On The Heart,Hell On The Heart
The Ballad of Michael Valentine,The Ballad of Michael Valentine,The Ballad of Michael Valentine,The Ballad of Michael Valentine,The Ballad of Michael Valentine,The Ballad of Michael Valentine,The Ballad of Michael Valentine,Whose Bed Have Your Boots Been Under?,The Ballad of Michael Valentine
Two Months Off,,,Two Months Off,,,Two Months Off,,
There Is a Wind,,,There Is a Wind,,,There Is a Wind,,
#SET7,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Down Boy,Miss Me Baby,Down Boy,Down Boy,Miss Me Baby,Down Boy,Down Boy,Down Boy,Down Boy
Hotel Yorba,I Got A Feelin',Hotel Yorba,Hotel Yorba,I Got A Feelin',Hotel Yorba,Hotel Yorba,I Got A Feelin',Hotel Yorba
I Got A Feelin',Down Boy,I Got A Feelin',I Got A Feelin',Down Boy,I Got A Feelin',I Got A Feelin',Miss Me Baby,I Got A Feelin'
The Ballad of Michael Valentine,,,The Ballad of Michael Valentine,,,The Ballad of Michael Valentine,,
Miss Me Baby,,,Miss Me Baby,,,Miss Me Baby,,
#SET8,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
American Soldier,American Soldier,American Soldier,American Soldier,American Soldier,American Soldier,American Soldier,There Is a Wind,American Soldier
Shoreline,Shoreline,Shoreline,Shoreline,Shoreline,Shoreline,Shoreline,American Soldier,Shoreline
Two Months Off,There Is a Wind,Two Months Off,Two Months Off,There Is a Wind,Two Months Off,Two Months Off,Shoreline,Two Months Off
NW Apt.,,,NW Apt.,,,NW Apt.,,
There Is a Wind,,,There Is a Wind,,,There Is a Wind,,
#SET9,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Intro//A Cosmic Drama,Wal-Mart Parking Lot,Intro//A Cosmic Drama,Intro//A Cosmic Drama,Wal-Mart Parking Lot,Intro//A Cosmic Drama,Intro//A Cosmic Drama,Soon We'll Be Found,Intro//A Cosmic Drama
Wal-Mart Parking Lot,Soon We'll Be Found,Wal-Mart Parking Lot,Wal-Mart Parking Lot,Soon We'll Be Found,Wal-Mart Parking Lot,Wal-Mart Parking Lot,Wal-Mart Parking Lot,Wal-Mart Parking Lot
